YYYYMMDD	M3	M2	M1	W4	W3	W2	W1	weekend	season	event
20180617	55	65	65	65	65	65	65		0	0
20180618	55	65	65	65	65	65	65		0	0
20180619	55	65	65	65	65	65	65		0	0
20180620	55	65	65	65	65	65	65		0	0
20180621	55	60	60	60	60	60	60		0	0
20180622	55	60	60	60	60	60	60	1	0	0
20180623	55	60	60	60	60	60	60	1	0	0
20180624	55	65	65	65	65	65	65		0	0
20180625	55	65	65	65	65	65	65		0	0
20180626	55	65	65	65	65	65	65		0	0
20180627	55	65	65	65	65	65	65		0	0
20180628	55	60	60	60	60	60	60		0	0
20180629	55	60	60	60	60	60	60	1	0	0
20180630	55	60	60	60	60	60	60	1	0	0
20180701	60	60	60	60	60	60	60		0	0
20180702	60	60	60	60	60	60	60		0	0
20180703	60	60	60	60	60	60	60		0	0
20180704	60	60	60	60	60	60	60		0	0
20180705	60	60	60	60	60	60	60		0	0
20180706	55	55	55	55	55	55	55	1		
20180707	55	55	55	55	55	55	55	1		
20180708	60	60	60	60	60	60	60		0	0
20180709	60	60	60	60	60	60	60		0	0
20180710	60	60	60	60	60	60	60		0	0
20180711	60	60	60	60	60	60	60		0	0
20180712	60	60	60	60	60	60	60		0	0
20180713	55	55	55	55	55	55	55	1		
20180714	55	55	55	55	55	55	55	1		
20180715	60	60	60	60	60	60	60		0	0
20180716	60	60	60	60	60	60	60		0	0
20180717	60	60	60	60	60	60	60		0	0
20180718	60	60	60	60	60	60	60		0	0
20180719	45	45	45	45	45	45	45		0	0
20180720	35	35	35	35	35	35	35	1	2	0
20180721	35	35	35	35	35	35	35	1	2	0
20180722	35	35	35	35	35	35	35		2	0
20180723	35	35	35	35	35	35	35		2	0
20180724	35	35	35	35	35	35	35		2	0
20180725	35	35	35	35	35	35	35		2	0
20180726	15	15	15	15	15	15	15		3	0
20180727	15	15	15	15	15	15	15	1	3	0
20180728	15	15	15	15	15	15	15	1	3	0
20180729	15	15	15	15	15	15	15		3	0
20180730	15	15	15	15	15	15	15		3	0
20180731	15	15	15	15	15	15	15		3	0
20180801	15	15	15	15	15	15	15		3	0
20180802	15	15	15	15	15	15	15		3	0
20180803	15	15	15	15	15	15	15	1	3	0
20180804	15	15	15	15	15	15	15	1	3	0
20180805	35	35	35	35	35	35	35		2	0
20180806	35	35	35	35	45	45	45		2	0
