예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
10	직접	2022489841	2	개인	394400	1HGN811	All New G80 2.5 (G)	2.7급	2020-11-24	10:00:00	2020-11-27	18:17:00	3	9	166400	KA04	쿠폰할인	P2013600271002	80.00	비회원	단기	2020-10-27	THE ALL NEW GENESIS G80 (G) 2.5T
13	모바일	2022489857	2	개인	169200	1HAV140	아반떼 AD (G) F/L	1.6급	2020-11-24	14:00:00	2020-11-27	10:47:00	2	21	43200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	THE NEW AVANTE AD (G) 1.6 SMART F/L
13	모바일	2022489920	2	개인	308880	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-12-01	17:00:00	2020-12-07	14:17:00	5	22	0	KA02	회원할인	골드회원	78.00	골드회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
10	직접	2022489924	2	개인	370700	1KCN700	카니발 KA4 9인승 (D)	승합	2020-11-26	15:00:00	2020-11-30	12:39:00	3	22	94700	KA03	이벤트할인	KT멤버십	70.00	비회원	단기	2020-10-27	CARNIVAL KA4 (D) 2.2 프레스티지 9인승
26	해외제휴사	2022489972	2	개인	105120	1KK3010	ALL NEW K3 (G)	1.6급	2020-11-26	14:00:00	2020-11-28	13:39:00	2	0	32000	KA01	업체할인	Hertz	0.00	비회원	단기	2020-10-27	K3 SMARTSTREAM (G) 1.6 럭셔리
12	제휴사	2022489990	2	개인	304200	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-11-23	12:30:00	2020-11-26	11:55:00	3	0	93600	KA03	이벤트할인	롯데ON	70.00	일반회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
11	홈페이지	2022489994	2	개인	194200	1HLN002	LF 쏘나타 뉴라이즈 (G)	2.0급	2020-12-11	8:00:00	2020-12-13	18:40:00	2	11	64800	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	LF SONATA NEWRISE (G) 2.0 SMART CHOICE
21	카드사	2022490022	2	개인	239400	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-24	13:00:00	2020-11-28	9:03:00	3	21	86400	KA01	업체할인	비씨카드(주)	67.00	일반회원	단기	2020-10-27	SONATA DN8 (G) 2.0 프리미엄
21	카드사	2022490043	2	개인	187380	1KMO300	모닝 어반 (G)	1.0급	2020-12-04	22:00:00	2020-12-08	17:42:00	3	20	35500	KA01	업체할인	비씨카드(주)	62.00	일반회원	단기	2020-10-27	MORNING URBAN (G) 1.0 프레스티지
12	제휴사	2022490055	2	개인	133750	1KST110	셀토스 4WD (D)	SUV/RV	2020-12-04	18:30:00	2020-12-06	19:30:00	2	1	53500	KA03	이벤트할인	KT멤버십	75.00	일반회원	단기	2020-10-27	SELTOS (D) 1.6 프레스티지 4WD
11	홈페이지	2022490060	2	개인	158000	1KK7405	K7 PREMIER (G) 2.5	2.7급	2020-12-11	18:00:00	2020-12-13	12:13:00	1	19	48000	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	K7 PREMIER (G) 2.5 프레스티지
