rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-15,soul,2020-11-06,65.0,1.0,1,-29,0.03333333333333333,-39
2020-12-15,soul,2020-11-12,75.0,1.0,1,-28,0.03333333333333333,-33
2020-12-15,soul,2020-11-16,73.0,1.0,1,-28,0.03333333333333333,-29
2020-12-15,soul,2020-11-17,65.0,3.0,1,-28,0.1,-28
2020-12-15,soul,2020-11-18,67.5,2.0,1,-27,0.06666666666666667,-27
2020-12-15,soul,2020-11-20,71.66666666666667,2.5833333333333335,1,-25,0.08611111111111111,-25
2020-12-15,soul,2020-11-30,65.0,1.0,1,-15,0.03333333333333333,-15
2020-12-15,soul,2020-12-03,70.0,1.0,1,-12,0.03333333333333333,-12
2020-12-15,soul,2020-12-04,75.0,1.0,1,-11,0.03333333333333333,-11
2020-12-15,soul,2020-12-05,65.0,1.0,1,-10,0.03333333333333333,-10
2020-12-15,soul,2020-12-07,75.0,2.0,1,-8,0.06666666666666667,-8
2020-12-15,soul,2020-12-08,65.0,2.0,1,-7,0.06666666666666667,-7
2020-12-15,soul,2020-12-09,72.5,2.0,1,-6,0.06666666666666667,-6
2020-12-15,soul,2020-12-10,65.0,1.0,1,-5,0.03333333333333333,-5
2020-12-15,soul,2020-12-11,72.5,2.0,1,-4,0.06666666666666667,-4
2020-12-15,soul,2020-12-12,73.0,1.0,1,-3,0.03333333333333333,-3
2020-12-15,soul,2020-12-13,79.0,2.0,1,-2,0.06666666666666667,-2
2020-12-16,soul,2020-11-01,80.0,1.0,1,-30,0.03333333333333333,-45
2020-12-16,soul,2020-11-09,75.0,1.0,1,-29,0.03333333333333333,-37
2020-12-16,soul,2020-11-12,75.0,1.0,1,-28,0.03333333333333333,-34
2020-12-16,soul,2020-11-16,74.33333333333333,3.0,1,-28,0.1,-30
2020-12-16,soul,2020-11-17,60.0,1.0,1,-28,0.03333333333333333,-29
2020-12-16,soul,2020-11-18,70.0,1.0,1,-28,0.03333333333333333,-28
2020-12-16,soul,2020-11-20,71.66666666666667,3.0,1,-26,0.1,-26
2020-12-16,soul,2020-11-30,65.0,1.0,1,-16,0.03333333333333333,-16
2020-12-16,soul,2020-12-04,75.0,1.0,1,-12,0.03333333333333333,-12
2020-12-16,soul,2020-12-07,75.0,2.0,1,-9,0.06666666666666667,-9
2020-12-16,soul,2020-12-08,65.0,1.0,1,-8,0.03333333333333333,-8
2020-12-16,soul,2020-12-09,65.0,1.0,1,-7,0.03333333333333333,-7
2020-12-16,soul,2020-12-10,70.0,2.0,1,-6,0.06666666666666667,-6
2020-12-16,soul,2020-12-11,80.0,3.0,1,-5,0.1,-5
